???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Sheep,Offal,Historic Liver Scarring,2020-06,England,3690,797985,124,0.462
Sheep,Offal,Historic Liver Scarring,2020-04,Wales,158,160060,16,0.099
Sheep,Offal,Historic Liver Scarring,2020-05,Wales,116,165979,16,0.07
Sheep,Offal,Historic Liver Scarring,2020-06,Wales,153,226854,16,0.067
Sheep,Offal,Hydatid Cyst,2020-04,England,1282,686671,125,0.187
Sheep,Offal,Hydatid Cyst,2020-05,England,1437,712039,126,0.202
Sheep,Offal,Hydatid Cyst,2020-06,England,1646,797985,124,0.206
Sheep,Offal,Hydatid Cyst,2020-04,Wales,113,160060,16,0.071
Sheep,Offal,Hydatid Cyst,2020-05,Wales,71,165979,16,0.043
Sheep,Offal,Hydatid Cyst,2020-06,Wales,98,226854,16,0.043
Sheep,Offal,Lung Abscesses,2020-04,England,3618,686671,125,0.527
Sheep,Offal,Lung Abscesses,2020-05,England,3855,712039,126,0.541
Sheep,Offal,Lung Abscesses,2020-06,England,4448,797985,124,0.557
Sheep,Offal,Lung Abscesses,2020-04,Wales,747,160060,16,0.467
Sheep,Offal,Lung Abscesses,2020-05,Wales,758,165979,16,0.457
Sheep,Offal,Lung Abscesses,2020-06,Wales,1422,226854,16,0.627
Sheep,Offal,Lung Worm ,2020-04,England,33863,686671,125,4.931
Sheep,Offal,Lung Worm ,2020-05,England,32963,712039,126,4.629
Sheep,Offal,Lung Worm ,2020-06,England,34397,797985,124,4.31
Sheep,Offal,Lung Worm ,2020-04,Wales,16668,160060,16,10.414
Sheep,Offal,Lung Worm ,2020-05,Wales,17246,165979,16,10.39
Sheep,Offal,Lung Worm ,2020-06,Wales,20744,226854,16,9.144
Sheep,Offal,Other,2020-04,England,7170,686671,125,1.044
Sheep,Offal,Other,2020-05,England,6916,712039,126,0.971
Sheep,Offal,Other,2020-06,England,5855,797985,124,0.734
Sheep,Offal,Other,2020-04,Wales,2091,160060,16,1.306
Sheep,Offal,Other,2020-05,Wales,1949,165979,16,1.174
Sheep,Offal,Other,2020-06,Wales,1445,226854,16,0.637
Sheep,Offal,Pneumonia Mycoplasma Like,2020-04,England,23803,686671,125,3.466
Sheep,Offal,Pneumonia Mycoplasma Like,2020-05,England,21269,712039,126,2.987
Sheep,Offal,Pneumonia Mycoplasma Like,2020-06,England,25308,797985,124,3.171
