Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Sheep,Offal,Other,2018-02,England,6032,673438,144,0.896
Sheep,Offal,Other,2018-03,England,7284,755570,145,0.964
Sheep,Offal,Other,2018-01,Wales,2365,238985,19,0.99
Sheep,Offal,Other,2018-02,Wales,734,200877,19,0.365
Sheep,Offal,Other,2018-03,Wales,1366,224385,19,0.609
Sheep,Offal,Pleurisy,2018-03,England,1,755570,145,0
Sheep,Offal,Pneumonia,2018-02,England,2,673438,144,0
Sheep,Offal,Pneumonia,2018-03,England,7,755570,145,0.001
Sheep,Offal,Pneumonia Mycoplasma Like,2018-01,England,16812,744749,146,2.257
Sheep,Offal,Pneumonia Mycoplasma Like,2018-02,England,15572,673438,144,2.312
Sheep,Offal,Pneumonia Mycoplasma Like,2018-03,England,17668,755570,145,2.338
Sheep,Offal,Pneumonia Mycoplasma Like,2018-01,Wales,7724,238985,19,3.232
Sheep,Offal,Pneumonia Mycoplasma Like,2018-02,Wales,5531,200877,19,2.753
Sheep,Offal,Pneumonia Mycoplasma Like,2018-03,Wales,7123,224385,19,3.174
Sheep,Offal,Pneumonia Pasteurella Like,2018-01,England,9394,744749,146,1.261
Sheep,Offal,Pneumonia Pasteurella Like,2018-02,England,7971,673438,144,1.184
Sheep,Offal,Pneumonia Pasteurella Like,2018-03,England,9518,755570,145,1.26
Sheep,Offal,Pneumonia Pasteurella Like,2018-01,Wales,3448,238985,19,1.443
Sheep,Offal,Pneumonia Pasteurella Like,2018-02,Wales,2254,200877,19,1.122
Sheep,Offal,Pneumonia Pasteurella Like,2018-03,Wales,2922,224385,19,1.302
Sheep,Total Rejection,Contamination,2018-01,England,13,744749,146,0.002
Sheep,Total Rejection,Contamination,2018-02,England,18,673438,144,0.003
Sheep,Total Rejection,Contamination,2018-03,England,18,755570,145,0.002
Sheep,Total Rejection,Contamination,2018-01,Wales,6,238985,19,0.003
Sheep,Total Rejection,Contamination,2018-02,Wales,7,200877,19,0.003
Sheep,Total Rejection,Contamination,2018-03,Wales,4,224385,19,0.002
Sheep,Total Rejection,Cysticercus ovis (Generalised),2018-01,England,238,744749,146,0.032
Sheep,Total Rejection,Cysticercus ovis (Generalised),2018-02,England,228,673438,144,0.034
Sheep,Total Rejection,Cysticercus ovis (Generalised),2018-03,England,265,755570,145,0.035
Sheep,Total Rejection,Cysticercus ovis (Generalised),2018-01,Wales,124,238985,19,0.052
Sheep,Total Rejection,Cysticercus ovis (Generalised),2018-02,Wales,176,200877,19,0.088
Sheep,Total Rejection,Cysticercus ovis (Generalised),2018-03,Wales,122,224385,19,0.054
Sheep,Total Rejection,Emaciation/Generalised Oedema,2018-01,England,580,744749,146,0.078
Sheep,Total Rejection,Emaciation/Generalised Oedema,2018-02,England,630,673438,144,0.094
Sheep,Total Rejection,Emaciation/Generalised Oedema,2018-03,England,929,755570,145,0.123
Sheep,Total Rejection,Emaciation/Generalised Oedema,2018-01,Wales,36,238985,19,0.015
Sheep,Total Rejection,Emaciation/Generalised Oedema,2018-02,Wales,34,200877,19,0.017
Sheep,Total Rejection,Emaciation/Generalised Oedema,2018-03,Wales,29,224385,19,0.013
Sheep,Total Rejection,Generalised Tuberculosis (Suspect),2018-01,England,2,744749,146,0
Sheep,Total Rejection,Hydatidosis,2018-02,England,1,673438,144,0
Sheep,Total Rejection,Jaundice,2018-01,England,35,744749,146,0.005
Sheep,Total Rejection,Jaundice,2018-02,England,13,673438,144,0.002
Sheep,Total Rejection,Jaundice,2018-03,England,41,755570,145,0.005
Sheep,Total Rejection,Jaundice,2018-01,Wales,2,238985,19,0.001
Sheep,Total Rejection,Jaundice,2018-02,Wales,3,200877,19,0.001
Sheep,Total Rejection,Jaundice,2018-03,Wales,7,224385,19,0.003
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2018-01,England,209,744749,146,0.028
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2018-02,England,204,673438,144,0.03
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2018-03,England,227,755570,145,0.03
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2018-01,Wales,42,238985,19,0.018
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2018-02,Wales,25,200877,19,0.012
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2018-03,Wales,31,224385,19,0.014
Sheep,Total Rejection,Other,2018-01,England,128,744749,146,0.017
Sheep,Total Rejection,Other,2018-02,England,121,673438,144,0.018
Sheep,Total Rejection,Other,2018-03,England,155,755570,145,0.021
Sheep,Total Rejection,Other,2018-01,Wales,53,238985,19,0.022
Sheep,Total Rejection,Other,2018-02,Wales,43,200877,19,0.021
Sheep,Total Rejection,Other,2018-03,Wales,29,224385,19,0.013
Sheep,Total Rejection,Polyarthritis,2018-01,England,155,744749,146,0.021
Sheep,Total Rejection,Polyarthritis,2018-02,England,183,673438,144,0.027
Sheep,Total Rejection,Polyarthritis,2018-03,England,142,755570,145,0.019
Sheep,Total Rejection,Polyarthritis,2018-01,Wales,206,238985,19,0.086
Sheep,Total Rejection,Polyarthritis,2018-02,Wales,179,200877,19,0.089
Sheep,Total Rejection,Polyarthritis,2018-03,Wales,176,224385,19,0.078
Sheep,Total Rejection,Processing Fault,2018-01,England,4,744749,146,0.001
Sheep,Total Rejection,Processing Fault,2018-02,England,4,673438,144,0.001
Sheep,Total Rejection,Processing Fault,2018-03,England,1,755570,145,0
Sheep,Total Rejection,Processing Fault,2018-01,Wales,478,238985,19,0.2
Sheep,Total Rejection,Processing Fault,2018-03,Wales,83,224385,19,0.037
Sheep,Total Rejection,Septicaemia/Fever,2018-01,England,123,744749,146,0.017
Sheep,Total Rejection,Septicaemia/Fever,2018-02,England,152,673438,144,0.023
Sheep,Total Rejection,Septicaemia/Fever,2018-03,England,164,755570,145,0.022
Sheep,Total Rejection,Septicaemia/Fever,2018-01,Wales,26,238985,19,0.011
Sheep,Total Rejection,Septicaemia/Fever,2018-02,Wales,20,200877,19,0.01
Sheep,Total Rejection,Septicaemia/Fever,2018-03,Wales,28,224385,19,0.012
Sheep,Total Rejections,Septicaemia / Fever,2018-01,England,1,744749,146,0
