Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2018-10,Wales,10,377012,19,0.003
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2018-11,Wales,18,353973,17,0.005
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2018-12,Wales,23,313444,16,0.007
Sheep,Total Rejection,Other,2018-10,England,58,843312,139,0.007
Sheep,Total Rejection,Other,2018-11,England,91,792866,139,0.011
Sheep,Total Rejection,Other,2018-12,England,65,791513,136,0.008
Sheep,Total Rejection,Other,2018-10,Wales,20,377012,19,0.005
Sheep,Total Rejection,Other,2018-11,Wales,39,353973,17,0.011
Sheep,Total Rejection,Other,2018-12,Wales,48,313444,16,0.015
Sheep,Total Rejection,Polyarthritis,2018-10,England,89,843312,139,0.011
Sheep,Total Rejection,Polyarthritis,2018-11,England,86,792866,139,0.011
Sheep,Total Rejection,Polyarthritis,2018-12,England,143,791513,136,0.018
Sheep,Total Rejection,Polyarthritis,2018-10,Wales,48,377012,19,0.013
Sheep,Total Rejection,Polyarthritis,2018-11,Wales,72,353973,17,0.02
Sheep,Total Rejection,Polyarthritis,2018-12,Wales,145,313444,16,0.046
Sheep,Total Rejection,Processing Fault,2018-10,England,1,843312,139,0
Sheep,Total Rejection,Processing Fault,2018-11,England,1,792866,139,0
Sheep,Total Rejection,Processing Fault,2018-10,Wales,119,377012,19,0.032
Sheep,Total Rejection,Septicaemia/Fever,2018-10,England,71,843312,139,0.008
Sheep,Total Rejection,Septicaemia/Fever,2018-11,England,67,792866,139,0.008
Sheep,Total Rejection,Septicaemia/Fever,2018-12,England,112,791513,136,0.014
Sheep,Total Rejection,Septicaemia/Fever,2018-10,Wales,12,377012,19,0.003
Sheep,Total Rejection,Septicaemia/Fever,2018-11,Wales,8,353973,17,0.002
Sheep,Total Rejection,Septicaemia/Fever,2018-12,Wales,7,313444,16,0.002
